#{"t_start": 1754431410.8431542, "env_id": "None"}
r,l,t
-27.28,200,289.229574
-26.75,200,289.581574
9.2,200,289.937576
2.7,200,290.303109
0.1,200,290.643106
21.6,200,290.990161
-112.91,200,291.389464
29.4,200,291.756464
29.31,200,292.114469
-19.81,200,292.837269
43.6,200,293.193428
32.8,200,293.599704
40.3,200,293.979705
33.9,200,295.183761
39.7,200,295.556336
41.4,200,295.96108
37.3,200,296.715308
41.6,200,297.280751
46.1,200,297.639746
37.7,200,298.030321
38.8,200,298.420325
37.43,200,298.775321
37.2,200,299.142318
37.7,200,299.51132
34.81,200,299.860319
30.7,200,300.254411
36.4,200,300.629941
-28.16,200,301.05999
39.7,200,301.427989
39.0,200,301.78299
41.5,200,302.143055
35.3,200,302.529173
37.6,200,302.878175
34.81,200,303.228173
24.1,200,303.575176
36.1,200,303.913173
37.2,200,304.255695
36.4,200,304.627873
36.9,200,305.490888
34.42,200,305.850888
37.7,200,306.19341
39.5,200,306.553413
39.8,200,306.951715
39.8,200,307.321712
25.4,200,307.670713
37.4,200,308.010711
42.6,200,308.370711
37.9,200,308.732712
44.21,200,309.12096
-76.54,200,309.494495
37.6,200,309.836025
-116.27,200,310.215021
38.3,200,310.570553
44.1,200,310.919554
43.33,200,311.309206
-16.54,200,311.672729
-45.11,200,312.014733
1.56,200,312.377733
37.4,200,312.715732
-161.02,200,313.064731
16.2,200,313.453889
41.4,200,313.791734
25.95,200,314.114734
11.73,200,314.962813
27.9,200,315.305814
17.6,200,315.718806
41.0,200,316.11282
-202.67,200,316.459293
51.88,200,316.803818
56.8,200,317.155819
17.21,200,317.492818
25.29,200,317.889818
36.48,200,318.23891
41.19,200,318.594438
38.33,200,318.940432
76.1,200,319.321433
76.2,200,319.674437
6.23,200,320.072434
49.92,200,320.452099
4.01,200,320.8311
80.9,200,321.1761
81.71,200,321.528164
33.7,200,321.880163
63.12,200,322.279172
81.62,200,322.64152
43.02,200,322.995518
40.95,200,323.332521
58.55,200,323.689572
23.32,200,324.580475
139.16,74,324.728431
37.19,200,325.103431
80.55,200,325.47743
57.64,200,325.819427
45.7,200,326.154431
65.51,200,326.508433
92.0,200,326.89043
68.91,200,327.241431
52.17,200,327.615433
139.1,140,327.857431
71.01,200,328.21343
31.09,200,328.558517
-22.57,200,328.942815
69.4,200,329.323877
61.31,200,329.679878
56.5,200,330.037884
44.51,200,330.470876
113.57,65,330.589875
41.91,200,330.96788
41.02,200,331.363544
45.9,200,331.70654
43.5,200,332.04954
47.5,200,332.403542
-12.61,200,332.736595
46.4,200,333.103595
43.41,200,334.014513
36.13,200,334.379508
51.6,200,334.745507
40.61,200,335.100508
-5.19,200,335.468508
43.4,200,335.8612
37.92,200,336.199201
43.51,200,336.526727
43.83,200,336.876726
47.9,200,337.244729
40.51,200,337.570254
47.3,200,337.973589
41.51,200,338.318588
47.4,200,338.66059
-67.95,200,339.010122
45.8,200,339.37165
38.81,200,339.712652
45.3,200,340.113566
38.81,200,340.454565
24.58,200,340.792564
46.1,200,341.152569
25.07,200,341.493563
38.91,200,341.838566
25.69,200,342.179566
46.0,200,342.56291
36.33,200,343.409919
38.91,200,343.758916
42.8,200,344.110919
42.8,200,344.496791
40.9,200,344.867507
41.4,200,345.228506
41.1,200,345.576503
-6.3,200,345.936504
34.04,200,346.288508
-29.64,200,346.685509
1.07,200,347.067885
40.8,200,347.432882
44.91,200,347.777883
40.71,200,348.127885
37.83,200,348.47241
54.91,200,348.811408
5.94,200,349.23078
50.7,200,349.575777
44.8,200,349.923774
-45.76,200,350.27078
52.8,200,350.615777
97.73,142,350.847778
42.8,200,351.242929
40.8,200,351.603929
-76.38,200,351.97493
40.8,200,352.319929
40.7,200,353.181928
42.7,200,353.567866
46.7,200,353.9124
38.31,200,354.262401
36.82,200,354.621925
-143.74,200,354.965459
35.72,200,355.333461
38.91,200,355.715274
40.3,200,356.060332
41.2,200,356.397274
40.3,200,356.748271
40.81,200,357.080276
40.4,200,357.454331
25.86,200,357.820936
40.8,200,358.189465
-140.26,200,358.567464
40.3,200,358.901463
40.3,200,359.256989
38.21,200,359.596521
-3.27,200,359.938524
19.59,200,360.333382
42.7,200,360.664955
40.8,200,361.088491
40.4,200,361.452488
39.9,200,361.790488
41.4,200,362.654697
45.6,200,363.001696
32.62,200,363.337695
35.4,200,363.664696
15.9,200,364.001694
45.1,200,364.3837
-54.38,200,364.756713
15.01,200,365.101716
9.4,200,365.479716
-185.26,200,365.823717
37.01,200,366.156717
38.4,200,366.513718
37.6,200,366.902665
37.71,200,367.255668
40.21,200,367.599193
42.8,200,367.93419
47.3,200,368.291192
42.01,200,368.64572
42.8,200,369.020871
45.0,200,369.380873
42.9,200,369.727872
40.8,200,370.080874
8.18,200,370.437876
46.8,200,370.795873
48.8,200,371.176928
38.42,200,372.044453
