#{"t_start": 1754430355.9672458, "env_id": "None"}
r,l,t
110.72,73,168.060658
116.33,194,168.356652
-10.21,200,168.950181
107.25,59,169.01819
105.06,68,169.094184
111.45,120,169.372373
4.64,200,169.621707
115.41,60,169.689706
115.12,79,169.777228
33.4,200,170.018223
111.66,55,170.090221
122.2,101,170.200221
131.31,169,170.420224
121.25,156,170.646768
31.1,200,170.857769
94.55,118,170.98577
26.51,200,171.190765
102.76,17,171.208769
107.62,30,171.238771
123.73,129,171.375198
29.8,200,171.810571
114.46,106,171.969868
111.06,99,174.597693
-26.61,200,174.838692
110.78,66,174.908695
110.36,55,174.973696
109.23,48,175.028694
104.59,141,175.164717
124.72,160,175.516721
33.84,200,175.993719
119.63,78,176.119723
109.5,32,176.185003
26.71,200,176.472768
98.66,19,176.499764
102.89,46,176.569765
105.72,52,176.66577
104.52,87,176.813767
94.01,180,177.192771
112.75,25,177.222771
115.35,35,177.260765
144.84,196,177.470217
110.29,11,177.483212
111.35,15,177.516237
2.06,200,177.772209
89.87,192,178.080196
117.23,119,178.233203
100.78,103,178.359206
108.42,62,178.454561
7.73,200,178.674567
34.1,200,178.914574
114.07,33,178.953563
108.71,42,178.999568
114.4,51,179.052566
118.28,62,179.112566
85.71,117,179.222577
15.71,200,179.414581
109.25,27,179.443578
95.88,138,179.576578
29.83,200,179.77258
109.34,60,179.830581
114.63,37,179.865583
122.98,112,179.984582
107.68,43,180.029587
115.84,66,183.448146
110.97,33,183.506149
113.39,42,183.582144
112.48,22,183.613151
103.8,12,183.632149
106.27,14,183.657145
116.34,66,183.755148
128.67,135,183.899164
115.28,63,183.964171
105.45,29,183.992162
33.41,200,184.211168
108.39,11,184.222163
112.48,22,184.246171
119.38,52,184.298172
105.23,105,184.419165
108.19,55,184.515169
102.72,52,184.585164
-6.12,200,184.803164
113.08,33,184.841166
120.35,108,184.963166
113.4,41,185.004163
109.63,17,185.026167
116.63,37,185.088689
12.4,200,185.372776
113.15,35,185.419769
126.24,146,185.606769
125.47,135,185.75677
106.64,16,185.772769
111.04,69,185.840772
109.8,147,186.030772
113.73,47,186.090772
117.49,83,186.183773
109.33,40,186.224777
124.27,124,186.344774
120.84,108,186.447777
122.84,136,186.607771
117.4,50,186.668776
119.05,96,186.771791
119.25,65,186.839773
112.9,41,186.881773
109.45,90,186.96677
103.42,10,186.975769
127.16,94,187.071773
105.01,22,187.09478
20.77,200,187.317107
100.44,192,187.510666
113.82,28,187.537661
98.29,146,187.679693
109.06,25,187.703691
108.38,12,187.715685
142.89,191,188.051688
29.63,200,191.6225
108.77,13,191.638497
140.4,170,191.879354
114.73,37,191.919888
99.91,44,191.964889
109.21,19,191.982888
106.66,15,191.997889
119.65,47,192.042892
117.28,73,192.112895
115.93,173,192.277893
15.54,200,192.473891
43.6,200,192.662889
116.12,28,192.688887
107.13,17,192.705887
2.73,200,192.895912
7.7,200,193.088909
112.06,35,193.121913
116.05,45,193.164913
106.14,28,193.193913
112.32,18,193.210913
113.96,34,193.242913
115.36,24,193.264911
107.32,72,193.331911
127.56,154,193.480911
111.64,16,193.495909
121.24,168,193.654918
-0.33,200,193.846915
15.5,200,194.087529
110.86,120,194.20763
124.44,97,194.298636
129.08,142,194.436629
119.82,50,194.484628
111.08,23,194.506633
105.99,24,194.531631
112.29,84,194.61263
119.46,109,194.717631
106.56,37,194.75263
33.81,200,194.944629
108.77,13,194.95663
107.64,17,194.973629
102.85,40,195.012632
118.47,63,195.073628
119.46,84,195.15263
72.74,119,195.265627
114.42,82,195.341632
105.94,50,195.387627
105.87,25,195.413628
105.6,22,195.434634
113.65,15,195.449636
103.99,23,195.471635
